@relation actor

@attribute birthyear numeric
@attribute height numeric

@data
1990, 163
1982, 184
1977, 172 
1985, 186
1958, 175 
1990, 181
1983, 172 
1960, 173
1980, 172  
1979, 184
1979, 168 
1980, 172
1982, 160
1981, 169
1983, 164
1982, 184
1990, 167
1972, 181
1987, 180
1976, 177
1981, 160
1981, 168
1981, 186 
1982, 170
1982, 187
1981, 172
1973, 163
1964, 184
1989, 162
1989, 180 
1983, 163
1977, 184
1958, 178
1989, 181 
1954, 170
1983, 176
1978, 167
1977, 168 
1986, 182 
1983, 184
1980, 179
1973, 167
1981, 181
1992, 160
1984, 183
1971, 179
1978, 174
1965, 175 
1988, 180
1970, 185
1967, 168 
1973, 185
1984, 165 
1937, 175
1984, 163
1970, 171 
1990, 178
1974, 184
1984, 181
1985, 193 
1987, 185
1981, 186
1976, 183 
1982, 169
1975, 180
1985, 183
1981, 188
1982, 167
1986, 182
1983, 185 
1988, 160
1986, 164
1990, 163
1987, 162 
1972, 185 
1987, 180
1977, 182
1986, 170
1982, 165
1981, 161
1981, 168 
1981, 168 
1967, 177 
1990, 187
1988, 170
1985, 170
1988, 168
1988, 160
